20;;55.000;;44.000;;54.000;44.667;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;5.613;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
21;5.500;55.000;;44.000;;54.000;14.000;43.000;;43.000;;70.000;;45.000;15.000;46.000;;69.000;1.500;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;15.000;49.000;;48.000;;48.000;73.000;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
22;;55.000;;44.000;;54.000;6.000;43.000;;43.000;;70.000;;45.000;4.000;46.000;;69.000;;44.000;;45.000;;44.000;0.500;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;65.000;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
23;0.652;54.000;;42.000;;53.000;15.400;41.000;;41.000;;65.000;;42.000;;46.000;;64.000;;41.000;;45.000;;41.000;;42.000;;42.000;;42.000;;45.000;;44.000;;44.000;;30.000;;29.000;;29.000;0.300;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
24;0.670;52.000;0.059;42.000;12.550;51.000;1.149;41.000;;41.000;0.073;67.000;0.099;43.000;;46.000;1.414;66.000;1.885;42.000;;45.000;;42.000;1.492;43.000;28.330;42.000;;42.000;0.108;47.000;0.678;46.000;;46.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;0.018;530.000;0.329;529.000;;529.000
25;;55.000;2.631;44.000;;54.000;;43.000;;43.000;;70.000;;45.000;0.209;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;32.314;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
26;;55.000;;44.000;;54.000;0.290;43.000;;43.000;0.025;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
27;3.356;53.000;;42.000;;52.000;2.223;41.000;2.960;41.000;4.312;67.000;;42.000;;46.000;;66.000;;41.000;;45.000;;41.000;0.021;42.000;;41.000;;41.000;0.327;45.000;;45.000;;45.000;8.639;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;0.276;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
28;165.130;43.000;;38.000;;42.000;237.290;37.000;;37.000;305.530;60.000;;37.000;36.060;46.000;;59.000;23.260;36.000;;45.000;;36.000;0.110;41.000;;40.000;;40.000;88.650;45.000;;44.000;;44.000;122.130;28.000;;27.000;;27.000;2.850;35.000;;34.000;;34.000;2.130;62.000;;61.000;;61.000;;;;;;
29;5.000;51.000;;42.000;;50.000;;41.000;;41.000;20.000;52.000;;41.000;;46.000;;51.000;;41.000;;45.000;;41.000;;44.000;;43.000;;43.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;0.500;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
30;;55.000;;44.000;;54.000;15.000;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;2.400;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
31;;53.000;;42.000;;52.000;111.619;41.000;;41.000;111.997;56.000;;41.000;;45.000;;55.000;1.236;40.000;;44.000;;40.000;;42.000;;41.000;;41.000;11.573;45.000;;44.000;;44.000;;30.000;;29.000;;29.000;8.316;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
